name,Latitude,Longitude
TD Canada Trust,48.432642200000004,-123.321873
Coast Capital Savings,48.4322359,-123.32062399999998
Coast Capital Savings,48.46183640000001,-123.33353630000002
Coast Capital Savings,48.42486159999999,-123.36553000000002
TD Canada Trust,48.4244262,-123.365647
RBC,48.42437579999999,-123.365113
Coast Capital Savings,48.441401099999986,-123.469579
RBC,48.41475280000001,-123.356738
RBC,48.4263237,-123.314296
Coast Capital Savings,48.49731289999999,-123.383872
Scotiabank,48.4589314,-123.332526
,48.470152299999995,-123.3655734
CIBC,48.44720529999999,-123.368774
Island Savings,48.44751879999999,-123.371793
CIBC,48.445355299999996,-123.33640700000001
Scotiabank,48.446358799999985,-123.33549
CIBC,48.42506349999999,-123.3649452
Canadian Western Bank,48.4255462,-123.3648204
BMO,48.4155839,-123.37403600000002
Victoria - Goldstream Village,48.4486473,-123.49756359999999
,48.426365299999986,-123.3161052
BMO,48.426371399999994,-123.31521299999999
Island Savings: Jubilee Branch,48.4315737,-123.323873
TD Canada Trust,48.433271999999995,-123.38125500000001
RBC,48.455335,-123.39335200000001
Scotiabank,48.6487713,-123.4013632
BMO,48.64878139999999,-123.39800799999999
Victoria Langford Branch,48.4425883,-123.5109286
CIBC,48.648035,-123.40296689999998
RBC,48.4560601,-123.37461300000001
RBC,48.57505109999999,-123.4444138
Coast Capital Savings,48.595702799999984,-123.41811800000002
RBC,48.442732899999996,-123.469503
RBC,48.4295517,-123.364206
RBC,48.42958679999999,-123.41118209999999
Hatley Park Shopping Centre Branch,48.4349593,-123.4918174
RBC,48.4445868,-123.33516100000001
Vancity,48.438495399999994,-123.50586
Vancity,48.46119059999999,-123.33212
BMO,48.492478899999995,-123.38776300000002
BMO,48.4535413,-123.37422899999999
Coast Capital Savings,48.378224499999995,-123.72147
RBC,48.46878420000001,-123.3296891
Scotiabank,48.45587359999998,-123.37407599999999
Vancity,48.42459830000001,-123.3639541
Victoria Gateway Branch,48.459116099999996,-123.37780620000001
HSBC,48.42285919999999,-123.36556099999999
WestShore Branch,48.443895399999995,-123.509182
Coast Capital Savings,48.440354,-123.50891599999999
Westshore Branch,48.4479636,-123.4974166
TD Canada Trust,48.4129558,-123.338472
TD Canada Trust,48.45713899999999,-123.37471800000002
,48.4609427,-123.4969347
Victoria Branch,48.440586599999996,-123.35989409999999
Victoria Branch,48.45101609999999,-123.37188720000002
National Bank,48.4231534,-123.366028
Vancity,48.444797,-123.370287
RBC,48.378340599999994,-123.720359
BDC,48.4238797,-123.35718010000001
Scotiabank,48.4395895,-123.51068699999999
HSBC,48.45463519999999,-123.37575280000001
Scotiabank,48.426700899999986,-123.31613700000001
Vancity,48.4261643,-123.365193
CIBC,48.4266781,-123.31519049999999
CIBC,48.44284444869708,-123.47020719339417
RBC,48.49758428562507,-123.38002656324538
CIBC,48.49822292070878,-123.38272170837175
RBC,48.43948315010389,-123.50685614993755
CIBC,48.441087282058376,-123.50612092316953
TD Canada Trust,48.43981519820292,-123.50989961850536
Island Savings,48.42359981589209,-123.36522994208948
BMO,48.42596452149129,-123.36464146407859
Scotiabank,48.426534681895234,-123.36455408907042
TD Canada Trust,48.49751928931235,-123.37916181714809
,48.45552653579317,-123.39441857325679
CIBC,48.44831397678328,-123.3992790929669
Victoria Oak Bay Branch,48.4266711928889,-123.31725845364754
TD Canada Trust,48.37873199486347,-123.72253851892393
CIBC,48.377867390260946,-123.72282715979017
TD,48.460817111090506,-123.33239477715007
RBC,48.57750213393836,-123.44897137483474
Admirals Walk Branch,48.44721357851572,-123.42686304538513
Nelson Square Branch,48.4485220149823,-123.42668535088536
RBC,48.649112115712235,-123.39814234608895
TD Canada Trust,48.64919652727554,-123.40007159025579
Coast Capital Savings,48.64869896797438,-123.40350361674018
CIBC,48.4693555978717,-123.3322872704461
Tillicum Mall Branch,48.454209603690565,-123.39526935775129
BMO,48.458987560513464,-123.33328717048703
RBC,48.378329910211875,-123.72039972613497
