name,Latitude,Longitude
Christie's Carriage House Pub,48.428697,-123.3315401
The Penny Farthing,48.42665199999999,-123.31502630000001
Swans,48.428645399999986,-123.3694791
Country Rose Pub,48.4353596,-123.488094
Yates Street Taphouse,48.4259303,-123.36278210000002
Ross Bay Pub,48.4125387,-123.33908230000002
Beagle Pub,48.414196700000005,-123.35641079999999
4 Mile Restaurant,48.452368199999995,-123.43383010000001
4 Mile Pub,48.452205799999994,-123.433784
Darcy's Pub Westshore,48.4471826,-123.4987122
Jack's Place,48.4769905,-123.5319442
JBI Pub,48.41525529999999,-123.36948980000001
Ma Miller’s Pub,48.459093499999994,-123.5536416
,48.42020780000001,-123.29900930000001
Vis A Vis,48.4266118,-123.3148761
Citrus & Cane,48.4315271,-123.3648974
The Fernwood Inn,48.4305462,-123.3450469
The Churchill,48.4254608,-123.3679429
Big Bad John's,48.423409899999996,-123.3654549
Rooftop Surfclub,48.42305019999999,-123.3653428
The Clubhouse,48.42333330000001,-123.36547240000002
The Games Room,48.42303470000001,-123.36519169999998
The Sticky Wicket,48.4230674,-123.365511
Smiths Pub,48.422643799999996,-123.3636487
Clive's Classic Lounge,48.422595400000006,-123.364212
Charles Dickens' Pub,48.649493799999995,-123.4060962
Moon Underwater,48.435207500000004,-123.375443
Spinnakers,48.640896100000006,-123.4306597
Shadow Mountain,48.43006780000001,-123.3679859
Little Jumbo,48.42517959999999,-123.3693342
Drake Eatery,48.42839380000001,-123.36903620000001
Spinnakers Brewpub,48.4290232,-123.38513330000002
Phillips Tasting Room,48.4320595,-123.367541
Bengal Lounge,48.4212559,-123.3675223
Q bar,48.421842899999994,-123.3678337
Veranda,48.421625,-123.368002
The Vicious Poodle,48.4271995,-123.363383
JR Slims,48.42676529999999,-123.37009100000002
Whistle Buoy Brewing Company,48.4281147,-123.3685251
Carlton Club Cabaret,48.430473000000006,-123.401441
Felicita’s Campus Pub,48.464591799999994,-123.3079384
328 Taphouse + Grill,48.44545050000001,-123.4696297
Six Mile Pub,48.456767141683734,-123.45921695730318
Irish Times,48.42578020463943,-123.36797622251603
Garrick's Head,48.425610500080786,-123.36801894996742
Darcy's Pub,48.42573514380307,-123.36955383437768
Garrick's Pub,48.425637548521806,-123.3682924788708
The Bard and the Banker,48.424777135466535,-123.36824904496939
CRAFT Beer Market,48.4297591999143,-123.37082094994295
The Monkey Tree Pub,48.47135870261517,-123.36113410716924
17 Mile House,48.39471754035172,-123.62705614512502
The Bent Mast,48.4152699665452,-123.37339460907876
5th Street Bar & Grill,48.439764226182426,-123.35819874812805
Logan's Pub,48.42973991954861,-123.35268700962588
Smuggler's Cove,48.46099440345078,-123.29654032768822
Fifteen Fifty's Pub Style Restaurant,48.46203028309672,-123.33436058673682
Maude Hunter's Pub,48.4624310273669,-123.33319497562876
