Name,Latitude,Longitude
Dutch Bakery & Diner,48.42480744648326,-123.3645098650436
Interactivity Board Game Cafe,48.42595402769429,-123.36398720952626
Starbucks,48.424115263023296,-123.36232936729982
Discovery Coffee,48.41670032255698,-123.37280648462232
Tim Hortons,48.43112680576009,-123.40006643032687
Spiral Cafe,48.43655399958315,-123.3883366620907
Good Earth Coffeehouse,48.41758759261922,-123.37086539610817
Demitasse Cafe,48.4204277,-123.3173424
Pure Vanilla Bakery and Cafe,48.4378547,-123.312987
Starbucks,48.4315737,-123.323731
Hillside Coffee and Tea,48.4449801,-123.3343155
Oak Bay Serious Coffee,48.4266148,-123.320039
LatteOne,48.4326272,-123.3210976
Koffi,48.4360427,-123.3401346
Dolce Vita,48.4252795,-123.3571271
Starbucks,48.4255826,-123.359477
Serious Coffee,48.4265629,-123.3660729
Urban Cup,48.4601009,-123.3332019
Starbucks,48.4469709,-123.372356
Starbucks,48.4129438,-123.338856
Serious Coffee,48.4142146,-123.3568584
Caffe Fantastico,48.4146656,-123.3557009
Ottavio,48.42669,-123.3135844
Starbucks,48.4153357,-123.3564368
Village Cafe,48.4376968,-123.3077791
Starbucks,48.4157104,-123.375088
James Bay Coffee and Books,48.4151113,-123.3740838
2% Jazz,48.4372156,-123.3660103
Discovery Coffee,48.4265558,-123.3236361
Caffe Fantastico,48.4322293,-123.3783274
Habit Coffee,48.4261774,-123.3617513
Caffè Fantastico,48.437365,-123.3588256
The Parsonage Cafe,48.4303466,-123.3526763
2% Jazz,48.4295438,-123.3635151
Italian Bakery,48.4487871,-123.3615525
Colonial Cafe,48.4154054,-123.3694
,48.4408598,-123.3759556
Tim Hortons,48.441116,-123.3737052
Cat's Coffee & Cake,48.4257743,-123.364774
Soupa Cafe,48.4254759,-123.3638392
Tim Hortons,48.4456267,-123.3356224
Good Earth Coffeehouse,48.4541167,-123.3746
Oak Bay Marina Coffee House,48.4245863,-123.3020084
,48.420251,-123.2998142
,48.4163001,-123.311473
Tim Hortons,48.4573451,-123.376006
Bean Around The World,48.429248,-123.3684068
Tim Hortons,48.4485527,-123.3722238
Moka House,48.4153163,-123.3558736
Starbucks,48.4547245,-123.395649
Discovery Coffee,48.4320397,-123.3649647
Murchie's,48.4253199,-123.3679835
Starbucks,48.4266574,-123.3672065
Starbucks,48.4292284,-123.366605
Starbucks,48.4326146,-123.38109
Java Jo's,48.4444924,-123.3701554
Cascadia,48.4306138,-123.3673103
Roundhouse Cafe,48.452729,-123.3652902
Tim Hortons,48.4272638,-123.361995
Starbucks,48.4249682,-123.3666426
Macchiato Caffe,48.427073,-123.362134
Macchiato Caffe,48.4242037,-123.3666947
Chorizo & co,48.4241533,-123.3620757
Aegean cafe,48.4242216,-123.3627631
Pour.,48.4233994,-123.3680717
Shine Cafe,48.4268195,-123.3621537
2% Jazz,48.4389543,-123.3654203
Blendz coffee,48.4239584,-123.3653024
Fit Fix Café,48.4268473,-123.3650316
Union Pacific Coffee,48.4300922,-123.3683552
Just Matcha,48.4286343,-123.3681818
QV Cafe,48.4295028,-123.366712
Tim Hortons,48.4582466,-123.378884
Tim Hortons,48.4473429,-123.3690037
Tim Hortons,48.442646,-123.369843
Tim Hortons,48.4381978,-123.364138
Tim Hortons,48.4461757,-123.332596
Tim Hortons,48.4332914,-123.327555
Tim Hortons,48.4309981,-123.323964
Starbucks,48.4210217,-123.371103
Gigi's Cafe,48.4395707,-123.359042
Caribbean Village Cafe,48.4388163,-123.3592125
Starbucks,48.4550718,-123.3754778
Starbucks,48.4603999,-123.3319723
Shanzee's Biscuit Café,48.4283808,-123.3684216
Tea at the Empress,48.4216174,-123.3678599
Liberty Cafe + Deli,48.4212455,-123.3664586
Capital City Café,48.4207692,-123.3660286
Chi Cha Teahouse,48.429535,-123.329836
Nourish Kitchen & Cafe,48.4216675,-123.376769
Blue Fox Cafe,48.4236293,-123.3587966
Discovery Coffee,48.4236312,-123.3624292
Little June,48.430385,-123.3450206
Fern Cafe and Bakery,48.4294333,-123.3525098
Starbucks,48.445343,-123.3702142
Hide & Seek Coffee,48.426404,-123.3155807
Empire Donuts,48.4254423,-123.3638853
Starbucks,48.4266693,-123.316402
Good Earth Coffeehouse,48.4262884,-123.3228849
Starbucks,48.4578085,-123.3769158
Xing Fu Tang,48.4242749,-123.367378
Sandwich Corner Cafe,48.4235748,-123.3675087
Sounds Like Coffee,48.4238512,-123.3670385
QV Coffee House,48.4291529,-123.3306303
Ruth & Dean Restaurant & Bakery,48.4374748,-123.3081752
Coffeehouse at Shoal Point,48.4226243,-123.384735
The Hot and Cold Cafe,48.4144412,-123.3562084
Starbucks,48.4233408,-123.3690561
The Sour Pickle Cafe,48.4290716,-123.369466
Habit Coffee,48.4286358,-123.3677192
