name,Latitude,Longitude
Demitasse Cafe,48.42042769999999,-123.3173424
Pure Vanilla Bakery and Cafe,48.4378547,-123.31298700000002
Starbucks,48.43157370000001,-123.32373100000001
Prospect Lake Market,48.5243562,-123.4311522
Hillside Coffee and Tea,48.44498010000001,-123.33431550000002
Oak Bay Serious Coffee,48.4266148,-123.320039
LatteOne,48.4326272,-123.32109760000002
Starbucks,48.476663699999996,-123.33277540000002
Koffi,48.43604270000001,-123.3401346
Dolce Vita,48.425279499999995,-123.3571271
Starbucks,48.425582600000006,-123.359477
Serious Coffee,48.42656289999999,-123.3660729
Urban Cup,48.46010090000001,-123.3332019
Starbucks,48.44697089999998,-123.37235599999998
Pilgrim Coffee,48.441835600000005,-123.4704632
BiteZ Sandwich Bar,48.442702399999995,-123.4709366
Starbucks,48.412943799999994,-123.33885600000002
Serious Coffee,48.4142146,-123.3568584
Caffe Fantastico,48.41466559999999,-123.35570090000002
Ottavio,48.426689999999994,-123.31358440000001
Starbucks,48.4153357,-123.3564368
Village Cafe,48.43769679999998,-123.3077791
Kinder Cup,48.4474386,-123.42745690000001
Starbucks,48.4157104,-123.375088
James Bay Coffee and Books,48.41511130000001,-123.37408380000001
2% Jazz,48.4372156,-123.3660103
Discovery Coffee,48.4265558,-123.32363610000002
Olive Olio's,48.4615579,-123.2970464
Starbucks,48.46629920000001,-123.30938100000002
Adriennes Tea Garden,48.52953000000001,-123.37345600000002
Caffe Fantastico,48.4322293,-123.3783274
Starbucks,48.46920969999999,-123.3627994
Habit Coffee,48.42617739999999,-123.36175130000001
Serious Coffee,48.42992129999999,-123.41107500000001
Caffè Fantastico,48.437365,-123.3588256
Lands End Café,48.687031699999984,-123.4097364
The Parsonage Cafe,48.4303466,-123.3526763
2% Jazz,48.4295438,-123.36351510000001
Italian Bakery,48.44878709999999,-123.3615525
Colonial Cafe,48.41540539999999,-123.3694
,48.440859800000005,-123.37595560000001
Tim Hortons,48.44111600000001,-123.3737052
Cat's Coffee & Cake,48.4257743,-123.36477400000001
Soupa Cafe,48.42547590000001,-123.3638392
Tim Hortons,48.4456267,-123.33562239999999
BiblioCafe,48.4635498,-123.3099072
Good Earth Coffeehouse,48.4541167,-123.3746
Oak Bay Marina Coffee House,48.4245863,-123.3020084
,48.42025100000001,-123.29981420000001
,48.416300099999994,-123.311473
Tim Hortons,48.45714179999999,-123.540064
Tim Hortons,48.45734509999999,-123.37600600000002
Bean Around The World,48.429248,-123.3684068
Tim Hortons,48.44855269999999,-123.3722238
Moka House,48.4153163,-123.3558736
Starbucks,48.4691067,-123.33037779999998
Starbucks,48.45472449999999,-123.395649
Starbucks,48.442295499999986,-123.51100599999998
Discovery Coffee,48.432039700000004,-123.3649647
Murchie's,48.4253199,-123.3679835
Hard Drive Cafe,48.49379050000001,-123.4115405
Tim Hortons,48.4674114,-123.4276202
Coffee Shop,48.5648003,-123.46720980000002
Starbucks,48.42665740000001,-123.3672065
Serious Coffee,48.3777286,-123.7220705
Starbucks,48.42922839999999,-123.36660500000002
Starbucks,48.432614599999994,-123.38109
Java Jo's,48.444492399999994,-123.3701554
Starbucks,48.468399999999995,-123.4280142
Serious Coffee,48.6488044,-123.39965879999998
3rd Street Cafe,48.64906109999998,-123.3976763
Beacon Cafe,48.6487978,-123.3964187
Quince Cafe & Ice Cream,48.648797599999995,-123.39602369999999
Starbucks,48.6487874,-123.39766740000002
The Red Brick Cafe,48.64877510000001,-123.3995572
Toast Cafe,48.6478032,-123.400127
Alexander's Coffee,48.6486552,-123.4008518
Starbucks,48.6481904,-123.40202890000002
Tim Hortons,48.64823429999999,-123.40277630000001
Bevan Bistro,48.64806959999999,-123.4010783
Cascadia,48.43061380000001,-123.3673103
Phonomenal,48.4615793,-123.3318797
Noodle Box,48.46194,-123.33187000000001
Roundhouse Cafe,48.45272899999999,-123.3652902
Tim Hortons,48.42726379999999,-123.36199499999998
Starbucks,48.42496820000001,-123.3666426
Macchiato Caffe,48.427073,-123.362134
Macchiato Caffe,48.42420370000001,-123.3666947
Chorizo & co,48.42415329999999,-123.3620757
Aegean cafe,48.424221599999996,-123.3627631
Pour.,48.423399399999994,-123.3680717
Shine Cafe,48.4268195,-123.36215369999998
2% Jazz,48.4389543,-123.36542030000001
Blendz coffee,48.42395839999998,-123.3653024
Artisan Bistro,48.496952,-123.3819992
Fit Fix Café,48.42684729999999,-123.3650316
Union Pacific Coffee,48.43009219999999,-123.3683552
Just Matcha,48.4286343,-123.3681818
QV Cafe,48.42950280000001,-123.366712
Tim Hortons,48.4666655,-123.4331605
Tim Hortons,48.4582466,-123.378884
Tim Hortons,48.4473429,-123.3690037
Tim Hortons,48.442646,-123.369843
Tim Hortons,48.43819779999999,-123.36413799999998
Tim Hortons,48.47049989999999,-123.3643242
Tim Hortons,48.469443599999984,-123.3610637
Tim Hortons,48.4690194,-123.33332490000001
Tim Hortons,48.4461757,-123.332596
Tim Hortons,48.4332914,-123.32755500000002
Tim Hortons,48.4309981,-123.32396400000002
Tim Hortons,48.64054120000001,-123.429953
Tim Hortons,48.5937318,-123.397034
Tim Hortons,48.4917552,-123.3877569
Starbucks,48.4210217,-123.37110299999999
Nest Cafe,48.464682399999994,-123.447
Gigi's Cafe,48.43957069999999,-123.35904200000002
Caribbean Village Cafe,48.4388163,-123.35921249999998
Starbucks,48.45507179999999,-123.3754778
Starbucks,48.4603999,-123.33197230000002
Shanzee's Biscuit Café,48.4283808,-123.36842160000002
Mac's,48.462756699999986,-123.3134142
Cup of Joe,48.41600589999999,-123.37417130000001
Tea at the Empress,48.4216174,-123.3678599
Liberty Cafe + Deli,48.42124549999999,-123.36645860000002
Capital City Café,48.4207692,-123.36602860000002
Chi Cha Teahouse,48.429535,-123.329836
Nourish Kitchen & Cafe,48.42166749999999,-123.37676900000001
Blue Fox Cafe,48.42362930000001,-123.35879659999999
The Stick in the Mud,48.37761219999999,-123.7246277
Brentwood Bay Village Empourium Café & Gift Shop,48.5754687,-123.44349860000001
Serious Coffee,48.461204499999994,-123.4961936
Discovery Coffee,48.423631199999996,-123.3624292
Esquimalt Roasting Company,48.429866200000006,-123.4129866
Little June,48.43038500000001,-123.3450206
Fern Cafe and Bakery,48.42943329999999,-123.35250980000002
Starbucks,48.445343,-123.3702142
Hide & Seek Coffee,48.426404,-123.3155807
Tim Hortons,48.38812059999999,-123.6932767
Empire Donuts,48.42544229999999,-123.36388529999999
Starbucks,48.426669299999986,-123.31640200000001
Good Earth Coffeehouse,48.4262884,-123.3228849
Serious Coffee,48.436209399999996,-123.4194932
Jusu,48.46136370000001,-123.297932
Keating Coffee,48.5654474,-123.41262640000001
Starbucks,48.45780849999999,-123.3769158
Xing Fu Tang,48.4242749,-123.367378
Tim Hortons,48.461495899999996,-123.3318311
Sandwich Corner Cafe,48.42357479999998,-123.36750870000002
Sounds Like Coffee,48.4238512,-123.36703850000002
Annabelle’s Café,48.5643228,-123.47117359999997
Munchie Bar,48.4655202,-123.308218
QV Coffee House,48.4291529,-123.33063030000001
Pedder Bay Café,48.347645199999995,-123.5723236
Ruth & Dean Restaurant & Bakery,48.4374748,-123.3081752
Coffeehouse at Shoal Point,48.4226243,-123.384735
Gray's Cafe,48.6477578,-123.3958195
Sequoia Coastal Coffee,48.40594620000001,-123.49527059999998
The Hot and Cold Cafe,48.414441200000006,-123.3562084
Starbucks,48.42334080000001,-123.3690561
The Sour Pickle Cafe,48.42907159999999,-123.36946600000002
Habit Coffee,48.42863579999999,-123.3677192
