Name,Latitude,Longitude
,48.459737985441855,-123.33338946858893
Fairfield Community Place,48.415082708267285,-123.34760178193685
Fernwood Community Centre,48.43078366441357,-123.34815581621535
Victoria West Community YMCA,48.437319628047604,-123.38822358304644
Leonardo Da Vinci Centre,48.43222852513475,-123.38257395758089
James Bay New Horizons Activity Centre,48.41624424886631,-123.37394780942107
Quadra Village Community Centre,48.43702754763606,-123.36102417959638
Ukrainian Cultural Centre,48.4490156833261,-123.37266306514013
Jewish Community Centre,48.45977879767036,-123.33333872632718
Our place society,48.4270166,-123.3577131
Oaklands Community Centre,48.4410308,-123.3385491
Burnside / Gorge Community Cente,48.4441595,-123.3783573
Les Passmore Seniors Activity Centre,48.4548328,-123.3920531
