Name,Latitude,Longitude
McDonald's,48.425612949999994,-123.36555349999999
Subway,48.42732304083129,-123.3594741872325
Red Fish Blue Fish,48.42435045,-123.37039175000001
McDonald's,48.429681137465394,-123.40917240618718
KFC,48.446394549999994,-123.37188305000001
McDonald's,48.454168673621155,-123.37338422207702
Dairy Queen,48.4349903,-123.36548169999999
McDonald's,48.42778165403981,-123.35675277555696
A&W,48.460568249005924,-123.33236333569583
A&W,48.45073539662335,-123.37363265207964
Salty's Fish and Chips,48.44236285,-123.40273165000002
Puerto Vallarta Amigos,48.455378,-123.37539475000001
A&W,48.43148070864135,-123.39923284836934
Melt,48.4363924714347,-123.36907400520015
McDonald's,48.46094578459149,-123.33345862519312
,48.454124528726766,-123.37326556049202
Panago,48.4601151,-123.3334312
Rica Salsa,48.4147276,-123.3556891
Minato Sushi,48.4147042,-123.3556921
Messob Ethiopian,48.4146441,-123.3557418
Subway,48.4410964,-123.373571
Fatburger,48.4257072,-123.364786
La Fogata Latina,48.4251194,-123.3630898
Delicados,48.4242099,-123.3628239
Subway,48.4487056,-123.3984171
Willows Galley,48.4371318,-123.3071344
Subway,48.4532328,-123.376323
The Joint Pizzeria,48.4265427,-123.3700316
Subway,48.4244303,-123.3622496
Salt Chuck,48.4352397,-123.3749866
Taco Time,48.4395477,-123.360355
A&W,48.4249904,-123.365929
Wendy's,48.4358254,-123.36309
Subway,48.4364828,-123.363063
Big Wheel Burger,48.415068,-123.3560198
Subway,48.4321269,-123.323634
Big Wheel Burgers,48.432401,-123.3808547
Subway,48.4235377,-123.354255
Pho boi,48.4477598,-123.3694127
Taco Time,48.4476591,-123.368985
Umi Sushi Express,48.4476156,-123.3689553
OPA! Of Greece,48.4477769,-123.3693284
KFC,48.4478069,-123.3691804
New York Fries,48.4477541,-123.3690501
Subway,48.4476962,-123.3690104
Manchu Wok,48.4477941,-123.369243
A&W,48.4478237,-123.3690978
Second Slice Pizza,48.4269769,-123.3649926
Burger King,48.4271044,-123.3649485
Subway,48.4270269,-123.364978
Burger King,48.4236813,-123.3684025
La Fiesta Cafe,48.423891,-123.3652383
Tacofino,48.424283,-123.3631718
Edo Japan,48.4250352,-123.3657891
BeaverTails,48.424271,-123.3676444
Opa! of Greece,48.4249288,-123.3659147
Jugo Juice,48.4254484,-123.3672646
,48.4191385,-123.3676254
,48.4191678,-123.3677258
,48.4191436,-123.3675221
,48.4191678,-123.3671891
,48.4191587,-123.3673171
Subway,48.4334583,-123.327946
Subway,48.43087,-123.400544
Sarpino's Pizzeria,48.4306166,-123.400925
Finest At Sea,48.4214095,-123.3834722
Orchard on View,48.4254352,-123.3660719
Taco Justice,48.4278916,-123.3534816
New York Fries,48.4458458,-123.3356365
Big Wheel Burger,48.4580147,-123.3767715
Domino's,48.4478246,-123.3730059
Freshslice Pizza,48.4274854,-123.3643522
Lotteria,48.4265455,-123.365538
Pizza Factory,48.4608924,-123.3313717
Superior Pizza,48.4155152,-123.3749032
Marble Arch Restaurant,48.4562887,-123.3933132
