Name,Latitude,Longitude
Coho Ferry,48.42169528545427,-123.37294174925547
Dockside Landing,48.4328484,-123.377716
Railyards,48.4377752,-123.38207
Selkirk Landing,48.4388577,-123.3796655
Victoria,48.4216189,-123.372083
West Bay/Esquimalt,48.426555,-123.39776
Harbour Air,48.4234101,-123.370738
Coast Hotel,48.4229134,-123.379918
Songhees Landing,48.426078,-123.380758
Delta Ocean Pointe,48.4268327,-123.374077
Empress Dock,48.4223016,-123.3688977
Fisherman's Wharf,48.4227616,-123.3825653
Hyack Air,48.4271624,-123.371313
Ricemill Landing,48.4301822,-123.371755
Tillicum Landing,48.4465363,-123.399527
Point Ellice House,48.4354417,-123.377971
Banfield Park,48.4393042,-123.387802
Victoria,48.4224269,-123.3736062
Swift Street Landing,48.4293016,-123.37173
Reeson Landing,48.427327,-123.3714773
