Name,Latitude,Longitude
,48.436191277022544,-123.3687795565066
Esso,48.446207300328076,-123.33276429699588
Chevron,48.45818588970705,-123.33271025761108
Petro-Canada,48.44537075342685,-123.3329453581929
Chevron,48.445929998605685,-123.33365925594937
Circle K,48.4387199,-123.358564
Petro-Canada,48.4123951,-123.336821
Shell,48.4241153,-123.3448721
Shell,48.4262844,-123.3241196
Esso,48.4274603,-123.334627
Husky,48.4325169,-123.358711
Shell,48.4289075,-123.3777779
Petro-Canada,48.4377557,-123.367039
Petro-Canada,48.4554292,-123.359183
Chevron,48.448104,-123.3996428
7-Eleven,48.4497821,-123.3847782
Shell,48.4563408,-123.3940826
,48.4242127,-123.405671
,48.429785,-123.3184386
Shell,48.4607057,-123.3609478
Esso,48.4480337,-123.3721408
Shell,48.4524019,-123.374732
Chevron,48.457822,-123.391363
Esso,48.4581225,-123.3786399
Esso,48.441483,-123.4018242
Petro-Canada,48.4420186,-123.40162
Co-op,48.439249,-123.3692209
Chevron,48.4552185,-123.3599947
Save-On Gas,48.4172575,-123.3731517
,48.4261551,-123.324375
,48.4262158,-123.324375
,48.4392964,-123.3690365
