name,Latitude,Longitude
Lasik Md,48.4290325,-123.36419100000002
Stillpoint Community Acupuncture,48.435675100000005,-123.387345
Associated Physicians Walk-In Clinic,48.6475563,-123.39954530000001
Bevan Avenue Walk-In Medical Clinic,48.64755219999999,-123.40090680000002
Esquimalt Optical,48.4296068,-123.411131
Island Sexual Health,48.468368700000006,-123.3641174
Victoria Youth Clinic,48.426460500000005,-123.369277
Esquimalt Treatment Centre & Walk-In Clinic,48.4302531,-123.40159630000001
Tillicum Medical Clinic,48.45448210000001,-123.3948407
Clinic Annex - NAD 143,48.43802518771399,-123.41667977914192
Rise Health,48.43428563051032,-123.34531053920227
Peninsula Health Unit,48.59464724947715,-123.40868096522199
