Name,Latitude,Longitude
Pharmasave,48.4267204213687,-123.31579894300177
Shoppers Drug Mart,48.45484165857327,-123.37384462526293
Shoppers Drug Mart,48.43157413303035,-123.39977200304268
Shoppers Drug Mart,48.4270971,-123.335011
I.D.A.,48.424663,-123.366611
I.D.A.,48.4291697,-123.330457
Heart Pharmacy,48.4608923,-123.2970002
Heart Pharmacy IDA,48.4124149,-123.337687
Rexall,48.4139867,-123.357004
Save-On-Foods,48.4326456,-123.380311
,48.4545813,-123.3949389
,48.4549183,-123.3586766
Rexall,48.4443669,-123.369127
Victoria Compounding Pharmacy,48.4233322,-123.354607
Shoppers Drug Mart,48.4488194,-123.3982749
Pharmasave,48.4292238,-123.4100003
Rexall,48.4234448,-123.365988
James Bay Pharmasave,48.4157033,-123.374292
Fort Royal Pharmacy,48.429497,-123.329929
LalliCare™ Pharmacy,48.430821,-123.4006381
Pharmasave,48.4330475,-123.3815322
Shoppers Drug Mart,48.4470543,-123.33443
Quadra Village Drug Mart,48.4385082,-123.358513
Shoppers Drug Mart,48.4257261,-123.365301
Fort Royal Pharmacy Hillside,48.4384492,-123.3636077
