Name,Latitude,Longitude
Centennial United Church,48.43885972856403,-123.36949465604161
Interfaith Chapel,48.46065469318295,-123.31700212454328
Westview Gospel Chapel,48.45885128233179,-123.39173064702773
Parkdale Evangelical Free Church,48.449027928363655,-123.3591984599245
St. Andrew's Presbyterian Church,48.42380064199239,-123.36603805665888
Saint Andrew's Cathedral,48.42542149064079,-123.36280671497032
Church of Truth,48.42158909556474,-123.3811420837254
Central Baptist Church,48.42733084791146,-123.36056778808536
Congregation Emanu-El,48.42741334236326,-123.36136438500239
Church of Our Lord,48.42052664774429,-123.36441594065272
Pemberton Memorial Chapel,48.43282758929114,-123.32740800105815
Victoria Alliance Church,48.44089897813375,-123.32967322065029
Saint John The Divine,48.42831903728117,-123.35840693158534
St. Barnabas' Church,48.428466868615615,-123.33802091955091
First Baptist Church,48.42975703148521,-123.35913432049186
House of Shiloh,48.453709942927325,-123.40452636773482
St. Matthias Anglican Church,48.417717680561694,-123.3323348374412
St. Philip's Anglican Church,48.44206706873619,-123.3148479905876
Buddhist Dharma Centre Of Victoria,48.454752254376594,-123.35056342262963
Franciscan Friars,48.42306365241279,-123.34414995373156
Our Lady Queen of Peace,48.43275439080064,-123.397551746748
St. Jean Baptiste Paroisse Francaise,48.41342728025833,-123.33006632767282
St. Patrick's Parish,48.43625622500805,-123.31988516086379
Ukrainian Catholic Church of St. Nicholas,48.43063000930568,-123.35249221640056
Church of the Nazarene,48.44096555560808,-123.39878240663867
Cornerstone Christian Fellowship,48.43241172335372,-123.34985024789415
"First Church of Christ, Scientist",48.42676919420923,-123.35009358049676
Keystone Victoria,48.43423164165928,-123.36077347428238
Shambhala Meditation Centre,48.431034574148654,-123.33868028930253
The Church of Jesus Christ of Latter-day Saints,48.4440991394486,-123.36110301395058
The Redeemed Christian Church of God,48.428815294001886,-123.36118542633685
Victoria Chinese Alliance Church,48.44568278395151,-123.34337349397362
Community of Christ,48.444231451372524,-123.3746004842462
Hope Lutheran Church,48.43704625299225,-123.32447708972447
Lutheran Church Of The Good Shepherd,48.44179145231276,-123.34439301633627
Oak Bay Gospel Assembly,48.426674539595865,-123.32591267506933
Oaklands Gospel Chapel,48.43890764875389,-123.34519224776562
The BC Muslim Association,48.433622670250514,-123.35856073381355
Victoria Foursquare Gospel Church,48.43654655,-123.364336
Chinese Pentecostal Church,48.43368715657196,-123.36092921406997
Chinese Presbyterian Church,48.430276559419354,-123.36113127531517
Glad Tidings Pentecostal Church,48.43024000876297,-123.3597386976662
I AM Sanctuary,48.42043370091673,-123.35688218284513
Knox Presbyterian Church,48.44368065117489,-123.32749112250673
Religious Society Of Friends,48.4290823555622,-123.33407685587571
Saint Sophia Orthodox Church,48.410946,-123.34704950000001
Trinity Presbyterian Church,48.449281732597775,-123.39922225090451
Gurdwara Singh Sabha,48.44458572048018,-123.37711028219917
High Point Community Church,48.43596859776663,-123.38910902882704
The Open Door Spiritualist Sanctuary,48.42828642363673,-123.35350906013406
First Metropolitan United Church,48.42918401838722,-123.35795642828433
James Bay United Church,48.4167137,-123.3725468
Oak Bay United Church,48.424882676711476,-123.32030055551391
Emmanuel Baptist Church,48.45788018157505,-123.31412281576647
Christ Church Cathedral,48.42226908067951,-123.35946072529784
Kingdom Hall of Jehovah's Witnesses,48.451045665157174,-123.3962142267215
St Mary the Virgin,48.42806644759807,-123.31880114849679
Mustard Seed Street Church,48.434005268954245,-123.36621090446496
New Apostolic Church,48.453229698885885,-123.38182433704432
Broadview United Church,48.46099103519532,-123.32959449927037
Shelbourne Street Church of Christ,48.45570218277308,-123.33343072407632
Kingdom Hall of Jehovah's Witnesses,48.43970728986572,-123.33389377634659
Grace Lutheran Church,48.42301067693001,-123.34604124454022
Sikh Temple,48.4434859,-123.3542197
Eckankar Canada,48.4294858,-123.3650885
Unity Church of Victoria,48.4277007,-123.3600218
Punjabi Akali Sikh Temple,48.4405721,-123.356336
St. George Ukrainian and St. Gabriel Ethiopian Orthodox ተዋህዶ Church,48.4388272,-123.4077963
Tam Kung Temple,48.4297687,-123.3668565
