Name,Latitude,Longitude
,48.4221496,-123.3856575
,48.4235818,-123.3067157
,48.4166781,-123.3116297
,48.4610044,-123.3369627
,48.4277531,-123.361124
,48.4526544,-123.3656324
,48.4104112,-123.3236527
,48.4089609,-123.3339056
,48.4123596,-123.3376002
,48.4165666,-123.3594235
,48.419927,-123.3715581
,48.4155837,-123.374319
,48.4150541,-123.318219
,48.420247,-123.3230436
,48.4132681,-123.3097403
,48.4463778,-123.370765
,48.4265824,-123.316131
,48.4242276,-123.302189
,48.4231423,-123.3683593
,48.427455,-123.359427
,48.4475843,-123.3212164
,48.4272919,-123.3538782
,48.4311474,-123.3670743
,48.4177652,-123.3553021
,48.4122668,-123.3572688
,48.4139091,-123.3569654
,48.4548842,-123.3589521
,48.4268181,-123.3615323
,48.4554818,-123.3762459
,48.4541043,-123.3951649
,48.4082028,-123.3506307
,48.4209585,-123.3663839
,48.4107217,-123.3688526
,48.4234593,-123.367895
,48.4265279,-123.370338
,48.4179426,-123.38545
,48.4303338,-123.36403
,48.4321802,-123.364727
,48.4462268,-123.3492989
,48.4498389,-123.4081585
,48.4213232,-123.3797825
,48.4532926,-123.3196457
,48.4582296,-123.3156489
,48.4603163,-123.3320536
