Name,Latitude,Longitude
Victoria Main,48.42593860964895,-123.36437435822184
Jubilee,48.4297701,-123.329279
Cadboro Bay,48.4608549,-123.2969926
Westside,48.433063,-123.381506
James Bay,48.4157062,-123.374246
Uptown,48.4548314,-123.373814
Cook Street,48.4139947,-123.357043
Esquimalt,48.4316425,-123.3997246
Oak Bay,48.4266978,-123.315749
Hillside,48.4469629,-123.334561
Fort Street,48.424545,-123.362792
Victoria City Centre,48.4258233,-123.365291
Quadra Village,48.4385343,-123.3584835
Gorge Plaza,48.448804,-123.3982465
Fairfield Plaza,48.4124147,-123.337662
The UPS Store,48.4251558,-123.356803
