Name,Latitude,Longitude
Re:Bar Modern Food,48.425807948883346,-123.36824999542851
Koto Japanese Restaurant,48.425258392197236,-123.36913082546889
Beirut Express,48.42421046292716,-123.3630612296233
Baan Thai,48.42471012468272,-123.362042726514
Sarpino's Pizza,48.42492990399857,-123.36269732234726
Harbour House Restaurant,48.42110137629315,-123.37439156480666
Crown Palace,48.43627674093199,-123.38746245672684
Browns Crafthouse,48.43353080647215,-123.38075175561498
Denny's,48.4451706,-123.37122485000002
Breakwater Café,48.415366775433306,-123.38468365335982
Itami Sushi,48.4255903080503,-123.36447922073536
Montana's,48.45590206455036,-123.39541745445435
Foo,48.425684450000006,-123.36257170000002
James Bay Fish and Chips,48.41561330230497,-123.37348485704563
Wing's Restaurant,48.44543666786989,-123.39274973079361
Red Robin,48.44837992354107,-123.36868461367622
NARU Korean Restaurant,48.42646124438976,-123.37045320539424
Beacon Drive In,48.411525500681016,-123.36867544391546
Oak Bay Seafood,48.426744299999996,-123.32156570000002
,48.4557921,-123.3599122
Thai Green Elephant,48.4393763332647,-123.39328293787393
Pirate Pizza Company,48.42281245177052,-123.38270500782372
Puerto Vallarta Amigos,48.42282720154947,-123.38286595360853
The Fish Store,48.42268595,-123.3832876
Coco Grill,48.422574071747896,-123.38260473567286
Szechuan City Buffet,48.449542925827444,-123.3839663333026
Romeo's Restaurant and Lounge,48.42949047866981,-123.36146706890439
Wheelies Cafe,48.43713932037984,-123.370132415081
Trini to D Bone,48.4608740498826,-123.39999449454548
Barb's Fish & Chips,48.422638400701665,-123.38290270349069
Cabin 12 Restaurant,48.44724061349161,-123.34420568106574
Earls,48.4255715,-123.367493
Baan Thai,48.4325919,-123.3214699
Eugene's,48.4322977,-123.3225529
Haultain Fish & Chips,48.436133,-123.350271
Moxie's Grill & Bar,48.4255604,-123.3561298
Omakase,48.4234083,-123.3630185
Brickyard Pizza,48.426198,-123.3625952
Glo Restaurant & Lounge,48.4388043,-123.3789086
Pizzeria PrimaStrada,48.4141056,-123.3569086
Rosie's Diner,48.4138036,-123.3565653
Sushi,48.4126809,-123.337688
The Old Spaghetti Factory,48.4203847,-123.365962
Young's Restaurant,48.438401,-123.3590141
MeeT on Blanshard,48.4385933,-123.3637244
Futaba Japanese Restaurant,48.4270728,-123.3591091
SenZushi,48.423996,-123.357902
McRae's Bistro,48.4507399,-123.3328048
West Coast Waffles,48.4259981,-123.3660684
Nar,48.4234705,-123.3070099
Cenote Restaurant and Lounge,48.426229,-123.362819
Bin 4 Burger Lounge,48.4252436,-123.356851
Restaurante La Tortilla Mexicana,48.4249793,-123.359305
Villages Pizza,48.4485415,-123.3981823
Erito Sushi,48.4542109,-123.3748326
Qoola Frozen Yogurt + Fruit Bar,48.4542716,-123.3746423
Noodle Box,48.4540841,-123.3756387
Shiki Sushi,48.4246043,-123.3622252
The Guild,48.4267968,-123.3704736
Yoshi Sushi,48.458369,-123.3764273
Choux Choux Charcuterie,48.4243004,-123.3611967
Noodle Box,48.4227679,-123.3661265
Milestones Bar & Grill,48.4227278,-123.3688365
Il Covo Trattoria,48.421873,-123.3807289
Floyd's Diner,48.4180037,-123.3727877
Flying Otter Grill,48.4236145,-123.370532
Tre Fantastico,48.420071,-123.3628864
Siam Thai Cuisine,48.425118,-123.3690118
The Keg,48.4251845,-123.369662
Nautical Nellies Steak & Seafood House,48.4244549,-123.369405
White Heather Tea Room,48.4263099,-123.3261852
Confit,48.4263497,-123.3264783
Sushi Matsuri,48.4164003,-123.373087
Fishhook,48.4240768,-123.3617533
Wah Laiyuen,48.4294684,-123.3676198
Sol Foods,48.4391775,-123.378293
White Spot,48.4307462,-123.3272903
Fujiya,48.459381,-123.3332227
Tropical Island,48.4598904,-123.333205
Il Greco,48.4479725,-123.4009861
Hot House Pizza,48.415547,-123.3557582
The next,48.4145306,-123.3570735
The Ruby,48.4461151,-123.3717092
Jam Cafe,48.430337,-123.3677317
Power House Living Foods Co.,48.455359,-123.3757308
Agrius Restaurant,48.4263395,-123.3631534
Bin 4 Burger Lounge,48.4505589,-123.3683727
Brady's Fish & Chips,48.450798,-123.3867408
Fish hook,48.4241594,-123.3621455
Il Terrazzo,48.4273865,-123.369053
Royal Spice Fine Indian Cuisine,48.4497524,-123.3690509
Jade Fountain Restaurant,48.451556,-123.37512
Machi Sushi,48.4377961,-123.312478
Crows,48.4426641,-123.3859766
Hecklers Bar & Grill,48.4431401,-123.3859264
Tractor,48.4230459,-123.3681116
Ferris',48.4269403,-123.3690811
The Mint,48.4276007,-123.3648353
Don Mee Seafood Restaurant,48.429514,-123.3682048
Ayo Eat,48.4282697,-123.3690512
Brasserie L'école,48.4298192,-123.366884
Fuego,48.4281807,-123.3694415
Ocean Garden,48.4295113,-123.3673683
Pagliacci's,48.4244768,-123.3664079
Hope Key,48.4266944,-123.3646274
My Thai Café,48.4226725,-123.3544883
Santiago's,48.4213995,-123.3746492
la Taquisa,48.4327315,-123.381161
Browns Social House,48.4222944,-123.3656783
Park's Kitchen,48.4259732,-123.3670611
John's Place,48.4278091,-123.3637705
Steamship Grill & Bar,48.4210431,-123.3713347
Green Cuisine,48.4279321,-123.3686514
Nubo Japanese Tapas,48.4277474,-123.363417
Venus Sophia,48.4296019,-123.3681321
La Taqueria,48.42458,-123.3631056
Yalla,48.4238612,-123.3624162
El Furniture Warehouse,48.4267179,-123.3692715
Cora,48.4228708,-123.366105
Superbaba,48.4267222,-123.3616615
James Joyce Bistro,48.426094,-123.3646553
Chicken 649,48.433879,-123.3598979
Zambri's,48.4261102,-123.3612503
Jusu juice bar,48.4263833,-123.3611372
