name,Latitude,Longitude
Global Village English Centres,48.4262422,-123.36642450000001
Con Brio Music,48.4115826,-123.3500801
St Margaret's School,48.48025890000001,-123.36445620000002
Victoria Conservatory of Music,48.4457316,-123.5337542
Canadian College of Performing Arts,48.42786749999999,-123.31891670000002
Willows Elementary,48.43605869397777,-123.3110737543887
Oak Bay High School,48.43184914744575,-123.31789180234837
Victoria High School,48.429621739158556,-123.34725669222696
Central Middle School,48.42397790811016,-123.3475600851451
Campus View Elementary,48.465908722703986,-123.32209973882078
Frank Hobbs Elementary School,48.465094185781375,-123.29958915702072
Arbutus Middle School,48.470994688404936,-123.30634387382227
Maria Montessori Academy,48.47345235895571,-123.31855409805694
Cedar Hill Middle School,48.46657249348767,-123.33721350824848
Oaklands Elementary,48.44092101143231,-123.33810068845331
Quadra Elementary,48.44575846897603,-123.3599417534656
Lansdowne Middle School - North Campus,48.44491887271611,-123.32966686171258
Lansdowne Middle School - South Campus,48.439698055424294,-123.32937461768103
St. Michaels University School,48.45166214033759,-123.32815480986507
Torquay Elementary,48.48638516223043,-123.32297906394018
Sir James Douglas Elementary,48.41561739711204,-123.34786097221281
St. Patrick's School,48.43373819097096,-123.32414548166909
Doncaster Elementary School,48.45640266736953,-123.33727599291943
Braefoot Elementary School,48.4701609667429,-123.34536161575761
John Stubbs Memorial School,48.43612241697931,-123.46403799678946
David Cameron Elementary,48.44272327469233,-123.49694422743129
Cloverdale Traditional School,48.453873993353504,-123.35906407729931
George Jay Elementary,48.433078689413705,-123.35100212516824
Hillcrest Elementary,48.484856713642415,-123.3129454907888
James Bay Community School,48.4169457705296,-123.3796955999109
Lake Hill Elementary,48.478384311251816,-123.3655295481069
Margaret Jenkins Elementary,48.41616405683221,-123.32896297862557
Ecole Marigold Elementary,48.462219851637,-123.40933296206678
Spectrum Community School,48.462463022647036,-123.40642937770521
McKenzie Elementary School,48.467515357854815,-123.39091482800173
Northridge Elementary School,48.48052390509519,-123.40221563449
Rogers Elementary,48.474400133923204,-123.38118018916359
Strawberry Vale Elementary,48.47810112260765,-123.41737490654916
Sundance-Bank Elementary,48.42778819758652,-123.32822865112634
Victoria West Elementary,48.434440126517124,-123.38820617647876
Colquitz Middle School,48.46009683174399,-123.39302928645292
Glanford Middle School,48.476285094581435,-123.39220596501036
Gordon Head Middle School,48.481537406307105,-123.32929366226605
Monterey Middle School,48.418528132749714,-123.31399258959252
Lambrick Park Secondary,48.47943746413912,-123.33013651476486
Reynolds Secondary,48.46882240711868,-123.35939854428626
S.J. Willis Alternative School,48.44080550267996,-123.36256272005885
Victor School,48.43210990094137,-123.33773858402553
Lakewood Elementary,48.46598808650807,-123.50704572781194
Willway Elementary,48.456987195931184,-123.54850378828957
Deep Cove Elementary,48.680066286330074,-123.45645710711825
Sidney Elementary School,48.65205665093231,-123.40490076967293
Kelset Elementary,48.62580609745501,-123.42179424049604
Keating Elementary,48.56798583648711,-123.40220505746085
Cordova Bay Elementary,48.52742770670006,-123.37006399474848
Prospect Lake Elementary,48.52283075994643,-123.4340897508916
Lochside Elementary,48.50067258105149,-123.35982859367085
Bayside Middle School,48.56940551253099,-123.45362203822879
Royal Oak Middle School,48.49467409411744,-123.39160395513868
South Island Distance Education School,48.49674299514102,-123.3941116311932
Parkland Secondary,48.67044561731897,-123.42155891130831
Stelly's Secondary,48.57779914969594,-123.43196564867912
SMUS Middle School,48.451813598650745,-123.32994460722432
School House,48.45212290795247,-123.3285136247783
Arts Calibre Academy,48.48018155727858,-123.3222216251127
Selkirk Montessori School,48.4408819976739,-123.37840148981661
,48.471929460157654,-123.38401971651093
Pacific Christian School,48.47323647265491,-123.38436674562631
Hans Helgesen Elementary,48.364108072203024,-123.55463812386567
John Muir Elementary,48.37075935255505,-123.74963875368165
Wishart Elementary,48.42214584693702,-123.49506647552818
Dunsmuir Middle School,48.41841527461228,-123.48620639262815
Glenlyon Norfolk School - Beach Drive Campus,48.42850992358931,-123.30740432755414
St. Michaels University School - Junior School,48.41793000592809,-123.31903007483392
Victoria International High School - Uplands Campus,48.45336787235152,-123.31311456427677
Play Field - Glenlyon Norfolk School - Beach Drive Campus,48.429232419816906,-123.30907912878475
