Name,Latitude,Longitude
The Glenshiel,48.41915277161856,-123.3663490887257
Gorge Road Hospital,48.44172609776109,-123.38801518842301
The Summit,48.43863985651038,-123.3607191434377
,48.42740919154831,-123.3363420782884
Edith Gunning Court,48.431755775726884,-123.38037867897012
Edith Gunning Court,48.43155010556104,-123.38057433624984
Selkirk Place,48.44237202941529,-123.37888364768058
Selkirk Place,48.442104329535944,-123.37802965622832
Hillside Seniors Health Centre,48.44251542958888,-123.3425658568048
Glengarry Hospital,48.4156688766018,-123.3323318665036
Aberdeen Hospital,48.442206869130814,-123.343280550965
Tapestry - The Art of Seniors Living,48.419831206991546,-123.36544718444533
Harriet House,48.451764883693784,-123.38269095897823
St. Mary's Hospital,48.41994384399465,-123.36150451325621
McCauley Lodge,48.426803127991285,-123.40657371418719
Carlton House of Oak Bay,48.42688244332862,-123.31987793181533
,48.44026057724375,-123.36468295103522
,48.442347683159674,-123.34308036042923
The Rock Bay Landing,48.4387962,-123.3715752
