Name,Latitude,Longitude,Address
Save-On-Foods,48.4326758,-123.3803478,"172 Wilson St Unit 100, Victoria"
Save-On-Foods,48.4275656,-123.3554566,"1010 Pandora Ave, Victoria"
Save-On-Foods,48.4307828,-123.3239866,"1950 Foul Bay Rd, Victoria"
Fairway Market,48.4264008,-123.3166752,"2187 Oak Bay Ave #101, Victoria"
Thrifty Foods,48.454802,-123.35865,"3475 Quadra St, Victoria"
Save-On-Foods,48.4547803,-123.3950177,"3170 Tillicum Rd #108, Victoria"
Fairway Market,48.4380284,-123.3580683,"2635 Quadra St, Victoria"
Market On Yates,48.425357,-123.35889,"903 Yates St, Victoria"
Country Grocer,48.4292211,-123.410502,"1153 Esquimalt Rd, Victoria"
Red Barn Market,48.426317,-123.3250581,"1933 Oak Bay Ave, Victoria"
Thrifty Foods,48.412831,-123.33778,"1590 Fairfield Rd, Victoria"
Thrifty Foods,48.415434,-123.374623,"475 Simcoe St, Victoria"
Thrifty Foods,48.445076,-123.338312,"1580 Hillside Ave, Victoria"
Bay Grocery,48.4339468,-123.3352445,"1618 Bay St, Victoria"
Save-On-Foods,48.4566101,-123.3730928,"3510 Blanshard St, Saanich"
Burnside Food Market,48.46093949999999,-123.400206,"658 Burnside Rd W, Victoria"
Pepper's Foods,48.4608333,-123.2969444,"3829 Cadboro Bay Rd, Victoria"
Fairway Market,48.468149,-123.3347439,"1521 McKenzie Ave, Victoria"
Tomley's Market,48.441709,-123.321685,"2897 Foul Bay Rd, Victoria"
Whole Foods Market,48.4567126,-123.3765561,"3587 Blanshard St, Victoria"
Fairway Market - Shelbourne Plaza,48.4598808,-123.3319093,"3651 Shelbourne St, Victoria"
Craigflower Foods,48.4394662,-123.3936136,"811 Craigflower Rd, Victoria"
Thrifty Foods,48.469499,-123.36282,"3995 Quadra St #101, Victoria"
Red Barn Market,48.4171397,-123.3725383,"325 Menzies St, Victoria"
Fairway Market,48.4483386,-123.3986614,"272 Gorge Rd W, Victoria"
Vegas market,48.4306113,-123.3456385,"F-1284 Gladstone Ave, Victoria"
Quonley's Gifts & Grocery,48.4292482,-123.3673017,"1628 Government St, Victoria"
Fernwood General Store,48.4305635,-123.3446376,"1308 Gladstone Ave, Victoria"
The Market Garden,48.4341555,-123.3849818,"810 Catherine St, Victoria"
Doncaster Grocery,48.4573492,-123.3392307,"3490 Cedar Hill Rd, Victoria"
Thrifty Foods,48.4692078,-123.3314758,"Tuscany Village, 1626 McKenzie Ave, Victoria"
Little Gem Grocery,48.4213771,-123.3797858,"148 Superior St, Victoria"
A&T Grocery,48.4292454,-123.3674966,"561 Fisgard St, Victoria"
Tai Sang Grocery,48.4298772,-123.3668624,"1717 Government St, Victoria"
Mother Nature's Market & Deli,48.4143431,-123.3568549,"240 Cook St, Victoria"
For Good Measure Grocery & Cafe,48.41223160000001,-123.3724612,"579 Niagara St, Victoria"
The Root Cellar Village Green Grocer,48.4138572,-123.3564073,"271 Cook St, Victoria"
Damascus Food Market,48.4409459,-123.3447138,"1395 Hillside Ave, Victoria"
The Local General Store,48.4362562,-123.3401667,"1440 Haultain St, Victoria"
Day To Day Grocery & Produce Victoria,48.4504815,-123.3858213,"50 Burnside Rd W, Victoria"
