Name,Latitude,Longitude,Address
Koffi,48.4360505,-123.3401874,"1441 Haultain St, Victoria"
Habit Coffee,48.4262132,-123.3616476,"808 Yates St, Victoria"
Macchiato Caffe,48.4242089,-123.3667064,"1002 Broad St, Victoria"
Hide + Seek Coffee,48.4264107,-123.3156069,"2207 Oak Bay Ave, Victoria"
Blenz Coffee,48.4239809,-123.3652309,"Blenz in Victoria, 1001 Douglas St G1, Victoria"
Loft and Ladder Coffee House,48.4265311,-123.3575012,"932 Johnson St #101, Victoria"
Bean Bandit's Coffee,48.4236218,-123.3647684,"711 Broughton St, Victoria"
Discovery Coffee,48.4320996,-123.3649672,"664 Discovery St, Victoria"
Serious Coffee Esquimalt,48.429942,-123.411114,"1153 Esquimalt Rd #27, Victoria"
Habit Coffee,48.4286416,-123.3676931,"552 Pandora Ave, Victoria"
Castello Coffee,48.4305228,-123.3647339,"1802 Douglas St, Victoria"
Discovery Coffee,48.426552,-123.3237071,"1964 Oak Bay Ave, Victoria"
Moka House Coffee,48.4153028,-123.3559084,"345 Cook St, Victoria"
Sounds Like Coffee,48.4239055,-123.3670712,"915 Gordon St, Victoria"
Discovery Coffee,48.4236544,-123.3623524,"1001 Blanshard St, Victoria"
Spiral Cafe,48.4365878,-123.3882636,"418 Craigflower Rd, Victoria"
Yoka's Coffee & Honey,48.428357,-123.3542602,"1046 Mason St, Victoria"
Moka House,48.461487,-123.2963766,"3849b Cadboro Bay Rd, Victoria"
Union Pacific Coffee Shop,48.430091,-123.368319,"537 Herald St, Victoria"
Shatterbox Coffee Company,48.42956179999999,-123.3635467,"1701 Douglas St CRU1, Victoria"
Bean Around The World,48.4292429,-123.3684344,"533 Fisgard St, Victoria"
Milano Victoria,48.4233973,-123.3680133,"817 Government St, Victoria"
QV Coffee House,48.42917240000001,-123.3307166,"1769 Fort St, Victoria"
Fernwood Coffee Company/Parsonage Cafe,48.4303468,-123.3526427,"1105 Caledonia Ave, Victoria"
Casey's Coffee,48.42662199999999,-123.3200538,"2060 Oak Bay Ave, Victoria"
Bibliocafe,48.46350839999999,-123.3098982,"3800 Finnerty Rd, Victoria"
Demitasse Cafe & Garden Centre,48.4202778,-123.3172222,"2164 McNeill Ave, Victoria"
Discovery Coffee,48.4167555,-123.3727701,"281 Menzies St, Victoria"
Gonzales Coffee,48.4129442,-123.3388322,"1548 Fairfield Rd, Victoria"
The Cracked Mug Coffee Shop,48.4262404,-123.3538057,"1090 Johnson St #106, Victoria"
the Allenby Coffee Bar,48.4414373,-123.3217382,"2865A Foul Bay Rd, Victoria"
2% Jazz Coffee,48.43898369999999,-123.3654518,"740 Hillside Ave, Victoria"
Liberty Cafe Ltd,48.4212214,-123.3664719,"708 Douglas St, Victoria"
Rise and Grind Coffee & All Day Breakfast Sandwiches,48.426279,-123.3665109,"1294 Broad St, Victoria"
Cinecenta Munchie Bar,48.4654974,-123.3080899,"3800 Finnerty Rd, Victoria"
Macchiato Caffe at The Juliet,48.427124,-123.3621009,"780 Johnson St, Victoria"
Little June,48.43040209999999,-123.3450272,"1301 Gladstone Ave, Victoria"
Miche Cafe & Bar,48.4343874,-123.3991868,"734 Aldebury St Unit 101, Victoria"
Gigi’s Cafe,48.4395851,-123.3590414,"1002 Hillside Ave, Victoria"
Caffe Fantastico,48.4373644,-123.3589937,"965 Kings Rd, Victoria"
